File,Time (sec),Clique size,Clique vertices,10000
brock200_1.clq,0.101,20,"{3,25,31,45,47,58,82,99,102,103,106,119,121,131,136,137,143,174,179,198}"
brock200_2.clq,0.059,11,"{35,83,84,89,101,117,149,162,175,182,199}"
brock200_3.clq,0.075,15,"{11,28,35,37,57,83,96,97,103,117,129,143,157,172,177}"
brock200_4.clq,0.074,15,"{5,9,15,22,23,39,54,70,73,89,91,102,106,119,158}"
brock400_1.clq,0.281,23,"{26,27,30,61,102,108,121,131,148,157,230,235,243,286,287,288,289,305,309,319,371,388,396}"
brock400_2.clq,0.277,23,"{42,78,89,98,110,123,130,131,138,188,194,198,204,208,261,278,295,339,374,384,390,397,398}"
brock400_3.clq,0.288,23,"{48,68,91,121,143,165,176,179,183,230,245,252,263,285,295,338,339,351,361,363,373,377,396}"
brock400_4.clq,0.277,23,"{39,64,70,72,90,117,149,152,165,179,192,214,227,237,262,272,287,312,316,343,353,384,386}"
C125.9.clq,0.125,34,"{0,1,4,6,8,10,16,17,18,24,28,30,33,43,44,47,48,53,69,70,76,78,84,91,98,100,109,113,114,116,120,121,122,124}"
gen200_p0.9_44.clq,0.184,37,"{12,15,19,23,29,36,46,48,49,51,54,58,61,62,64,71,74,93,96,101,107,116,119,125,126,128,137,146,149,152,155,165,173,174,179,194,196}"
gen200_p0.9_55.clq,0.193,42,"{5,11,14,18,20,25,32,35,61,66,68,76,80,81,85,88,91,92,95,102,110,115,120,122,135,136,143,144,145,146,148,155,158,163,168,172,174,176,177,186,191,196}"
hamming8-4.clq,0.091,16,"{22,25,37,42,67,76,112,127,128,143,179,188,213,218,230,233}"
johnson8-2-4.clq,0.009,4,"{9,12,16,21}"
johnson16-2-4.clq,0.048,8,"{35,42,50,59,69,80,92,105}"
keller4.clq,0.061,11,"{11,27,36,60,68,71,96,104,143,148,167}"
MANN_a27.clq,2.845,123,"{0,1,3,4,9,13,29,32,35,38,41,44,47,50,53,56,59,62,65,68,71,74,77,80,83,86,89,92,95,98,101,104,107,110,113,116,118,122,125,128,131,134,137,140,143,146,149,152,155,158,161,164,167,170,173,176,179,182,185,187,191,194,197,200,203,206,209,212,215,218,221,224,227,230,233,236,239,242,245,248,250,254,257,259,263,265,269,272,275,277,281,283,287,288,293,295,299,301,305,306,311,313,317,320,323,326,329,332,334,337,341,342,347,349,353,355,359,361,365,367,369,373,377}"
MANN_a9.clq,0.03,16,"{0,1,3,4,11,14,17,20,23,26,29,32,35,38,41,44}"
p_hat1000-1.clq,0.396,10,"{161,171,241,401,491,494,536,601,641,715}"
p_hat1000-2.clq,1.09,44,"{84,121,154,170,191,225,252,282,296,321,377,488,491,494,536,548,561,607,623,635,638,639,670,715,718,725,730,781,783,797,799,818,823,838,861,863,875,899,928,932,961,966,992,996}"
p_hat1500-1.clq,0.764,11,"{71,164,172,263,419,433,656,752,1056,1108,1288}"
p_hat300-3.clq,0.225,36,"{3,18,19,20,23,32,39,47,48,55,74,75,88,97,138,148,159,165,173,175,189,198,204,218,220,225,234,238,244,246,251,254,272,289,297,298}"
p_hat500-3.clq,0.736,48,"{22,36,38,62,64,68,98,147,149,159,161,162,168,193,205,221,230,247,265,268,281,299,301,319,322,335,347,348,369,380,382,383,388,403,407,411,424,431,439,442,444,454,464,468,474,479,480,488}"
san1000.clq,0.919,10,"{8,25,279,327,537,625,717,729,867,984}"
sanr200_0.9.clq,0.27,41,"{3,5,6,14,15,17,19,25,32,44,56,58,62,66,69,70,71,80,92,93,101,106,109,117,123,130,139,142,144,148,149,152,158,159,163,166,169,188,191,192,196}"
sanr400_0.7.clq,0.343,19,"{37,45,57,96,110,115,182,188,236,242,264,277,302,308,316,331,352,368,370}"
