File,Time (sec),Clique size,Clique vertices,1000
brock200_1.clq,0.016,19,"{2,9,12,25,31,35,45,56,68,74,84,97,123,151,173,174,177,180,190}"
brock200_2.clq,0.014,10,"{83,89,101,107,111,131,160,167,182,199}"
brock200_3.clq,0.013,13,"{19,46,58,85,105,106,109,119,127,142,153,186,198}"
brock200_4.clq,0.013,15,"{9,22,23,39,52,61,84,89,91,94,102,119,142,158,188}"
brock400_1.clq,0.045,22,"{26,27,30,65,108,121,157,176,217,235,243,245,255,286,287,288,289,305,309,312,343,371}"
brock400_2.clq,0.064,22,"{22,34,42,83,88,116,126,131,164,188,204,221,260,265,271,278,295,376,377,390,391,398}"
brock400_3.clq,0.046,22,"{30,48,60,69,113,126,143,179,189,203,204,218,243,248,257,263,265,280,351,361,385,390}"
brock400_4.clq,0.054,23,"{39,64,70,72,90,117,149,152,165,179,192,214,227,237,262,272,287,312,316,343,353,384,386}"
C125.9.clq,0.017,34,"{0,1,4,6,8,10,16,17,18,23,24,28,30,33,39,43,44,46,47,48,53,69,70,76,78,79,100,109,114,116,120,121,122,124}"
gen200_p0.9_44.clq,0.025,36,"{14,18,22,25,31,44,47,49,51,61,64,66,71,78,80,81,96,97,99,100,101,116,119,122,134,135,136,141,142,143,145,162,163,173,178,187}"
gen200_p0.9_55.clq,0.027,42,"{5,11,13,14,17,18,20,29,32,61,64,66,68,76,78,80,81,88,91,95,102,110,113,120,122,128,135,136,142,143,145,146,158,163,172,174,176,181,186,191,197,198}"
hamming8-4.clq,0.016,16,"{22,25,37,42,67,76,112,127,128,143,179,188,213,218,230,233}"
johnson8-2-4.clq,0.002,4,"{9,12,16,21}"
johnson16-2-4.clq,0.008,8,"{35,42,50,59,69,80,92,105}"
keller4.clq,0.011,11,"{4,28,36,52,61,73,80,108,143,148,162}"
MANN_a27.clq,0.275,122,"{0,1,3,4,13,29,32,35,38,41,44,47,50,53,56,59,62,65,68,71,74,77,80,83,86,89,92,95,98,101,104,107,110,113,116,119,122,125,128,131,134,137,140,143,146,149,152,155,158,161,164,167,170,173,176,179,182,185,188,191,194,197,200,203,206,209,212,215,218,221,224,227,230,233,236,239,242,245,248,251,254,257,259,263,265,269,271,275,277,281,283,287,289,293,295,299,301,305,307,311,313,317,320,323,326,329,332,335,338,341,343,347,349,353,355,359,361,365,367,371,373,377}"
MANN_a9.clq,0.004,16,"{0,1,3,4,11,14,17,20,23,26,29,32,35,38,41,44}"
p_hat1000-1.clq,0.091,10,"{28,42,91,177,178,445,460,537,616,649}"
p_hat1000-2.clq,0.217,44,"{84,121,154,191,225,252,282,296,321,377,488,491,494,536,548,561,607,623,635,638,639,670,715,718,725,730,776,781,783,797,799,818,823,838,861,863,875,899,928,932,961,966,992,996}"
p_hat1500-1.clq,0.211,10,"{75,563,804,1036,1144,1166,1404,1415,1418,1465}"
p_hat300-3.clq,0.033,36,"{3,18,19,20,23,32,39,48,55,74,75,88,97,138,148,159,165,173,175,189,198,204,218,220,225,234,238,244,246,251,254,272,289,296,297,298}"
p_hat500-3.clq,0.088,47,"{29,36,38,62,64,67,98,147,149,159,162,168,193,202,205,221,230,257,265,268,281,299,301,319,335,347,348,358,367,369,380,383,388,398,403,411,424,431,442,444,454,456,464,468,479,480,488}"
san1000.clq,0.169,9,"{18,158,302,390,543,715,729,755,930}"
sanr200_0.9.clq,0.027,40,"{5,6,14,17,19,22,25,32,34,39,56,58,62,70,71,73,89,92,93,97,101,106,109,117,123,125,130,135,140,142,149,158,159,163,171,188,189,191,192,199}"
sanr400_0.7.clq,0.04,18,"{2,20,37,109,115,134,146,147,148,172,192,233,264,277,311,339,352,370}"
