Instance, Colors, Time (sec)
myciel3.col, 6, 0
myciel7.col, 61, 0
latin_square_10.col, 712, 0.035
school1.col, 173, 0.001
school1_nsh.col, 155, 0.001
mulsol.i.1.col, 85, 0
inithx.i.1.col, 182, 0.001
anna.col, 28, 0
huck.col, 24, 0
jean.col, 18, 0
miles1000.col, 71, 0
miles1500.col, 93, 0
fpsol2.i.1.col, 138, 0
le450_5a.col, 112, 0.001
le450_15b.col, 115, 0
le450_25a.col, 115, 0
games120.col, 35, 0
queen11_11.col, 52, 0
queen5_5.col, 13, 0
