Instance, Colors, Time (sec)
myciel3.col, 4, 0
myciel7.col, 9, 0
latin_square_10.col, 153, 0.059
school1.col, 40, 0.002
school1_nsh.col, 38, 0.001
mulsol.i.1.col, 49, 0.001
inithx.i.1.col, 54, 0.004
anna.col, 11, 0
huck.col, 11, 0
jean.col, 10, 0
miles1000.col, 44, 0.001
miles1500.col, 74, 0.001
fpsol2.i.1.col, 65, 0.002
le450_5a.col, 13, 0
le450_15b.col, 21, 0.001
le450_25a.col, 28, 0.001
games120.col, 9, 0
queen11_11.col, 17, 0.001
queen5_5.col, 7, 0
